City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Santa Marta,CO,11.2408,-74.199,84.99,65,20,5.75,few clouds
81,Sorland,NO,67.667,12.6934,36.25,79,100,11.95,overcast clouds
82,Alice Town,BS,25.7167,-79.3,61.88,72,0,30.53,clear sky
83,Popondetta,PG,-8.7537,148.2534,78.42,84,100,1.36,overcast clouds
84,Richards Bay,ZA,-28.783,32.0377,69.62,74,100,9.55,overcast clouds
85,Geraldton,AU,-28.7667,114.6,82.4,51,90,18.41,light rain
86,Coolum Beach,AU,-26.5333,153.1,73.99,96,89,1.01,overcast clouds
87,Taoudenni,ML,22.6783,-3.9836,66.25,27,10,11.16,clear sky
88,Butaritari,KI,3.0707,172.7902,81.55,83,81,15.79,light rain
89,East London,ZA,-33.0153,27.9116,62.6,77,20,4.61,few clouds
90,Barrow,US,71.2906,-156.7887,-23.8,76,1,13.8,clear sky
91,Hanzhong,CN,33.0728,107.0303,52.36,42,62,1.28,broken clouds
92,Dingle,PH,10.9995,122.6711,83.01,76,33,12.97,scattered clouds
93,Manyana,BW,-23.4,21.7167,65.23,93,1,4.25,clear sky
94,El Alto,PE,-4.2714,-81.2147,72.32,81,50,13.8,scattered clouds
95,Andilamena,MG,-17.0167,48.5833,66.51,94,81,4.81,broken clouds
96,Bathsheba,BB,13.2167,-59.5167,78.8,65,75,18.41,broken clouds
97,Nouadhibou,MR,20.931,-17.0347,64.4,77,0,16.11,clear sky
98,Thompson,CA,55.7435,-97.8558,10.4,92,75,3.44,broken clouds
99,Nenjiang,CN,49.1833,125.2167,-17.46,79,8,7.31,clear sky
100,Thinadhoo,MV,0.5333,72.9333,82.83,70,84,7.14,broken clouds
101,Mahebourg,MU,-20.4081,57.7,80.6,89,40,11.5,light rain
102,Clyde River,CA,70.4692,-68.5914,-22.0,63,1,5.75,clear sky
103,Atuona,PF,-9.8,-139.0333,78.57,78,3,15.01,clear sky
104,Coihaique,CL,-45.5752,-72.0662,57.2,62,0,3.44,clear sky
105,Mogadishu,SO,2.0371,45.3438,73.47,83,99,16.71,overcast clouds
106,Vanimo,PG,-2.6741,141.3028,80.98,82,100,5.17,overcast clouds
107,Camacha,PT,33.0833,-16.3333,60.8,77,75,4.61,broken clouds
108,Chulman,RU,56.8479,124.9104,-29.52,80,100,14.05,overcast clouds
109,Barao De Melgaco,BR,-16.1944,-55.9675,75.2,94,0,4.61,clear sky
110,Vila Franca Do Campo,PT,37.7167,-25.4333,60.01,88,40,19.57,scattered clouds
111,Lisakovsk,KZ,52.5369,62.4936,20.41,95,100,6.33,overcast clouds
112,Orje,NO,59.4802,11.6602,21.0,89,1,3.0,clear sky
113,Lavras,BR,-21.2453,-44.9997,66.42,94,100,8.37,light rain
114,Pirogovo,RU,56.7796,53.1495,19.0,90,100,5.23,snow
115,Kirkwall,GB,58.9848,-2.9587,35.6,80,40,14.97,scattered clouds
116,Tilichiki,RU,60.4667,166.1,9.64,96,100,9.1,overcast clouds
117,Chor,PK,25.5167,69.7667,63.97,36,0,3.91,clear sky
118,Kavieng,PG,-2.5744,150.7967,83.35,78,100,14.54,light rain
119,Kruisfontein,ZA,-34.0033,24.7314,53.01,91,48,7.92,scattered clouds
120,Evensk,RU,61.95,159.2333,-7.71,87,100,9.44,overcast clouds
121,Sitka,US,57.0531,-135.33,33.8,86,90,11.5,snow
122,Batesville,US,35.7698,-91.641,33.8,75,1,4.61,clear sky
123,Arcata,US,40.8665,-124.0828,50.0,93,90,4.61,overcast clouds
124,Vardo,NO,70.3705,31.1107,27.37,92,100,15.05,light snow
125,Fairlie,GB,55.756,-4.8556,37.0,86,100,5.99,light rain
126,Caucaia,BR,-3.7361,-38.6531,81.0,78,75,11.5,broken clouds
127,Faanui,PF,-16.4833,-151.75,81.39,75,67,11.23,broken clouds
128,Waddan,LY,29.1614,16.139,50.0,95,0,7.11,clear sky
129,Yellowknife,CA,62.456,-114.3525,-7.01,77,90,13.8,overcast clouds
130,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,17.6,86,67,2.3,broken clouds
131,Mount Isa,AU,-20.7333,139.5,98.6,30,40,9.22,scattered clouds
132,Carnarvon,AU,-24.8667,113.6333,91.4,46,75,19.57,broken clouds
133,Tuatapere,NZ,-46.1333,167.6833,74.1,47,84,2.33,light rain
134,Aksarka,RU,66.5606,67.7975,11.39,96,100,9.6,light snow
135,Emba,KZ,48.8264,58.1442,28.09,97,100,4.94,overcast clouds
136,Ferrol,ES,43.4832,-8.2369,60.01,72,100,11.99,overcast clouds
137,Mogok,MM,22.9167,96.5,69.04,31,0,1.41,clear sky
138,Abu Ghosh,IL,31.8059,35.1093,64.99,34,0,4.61,clear sky
139,Tiksi,RU,71.6872,128.8694,-16.04,89,100,12.35,overcast clouds
140,Pangkalanbuun,ID,-2.6833,111.6167,89.15,57,5,4.12,clear sky
141,Usinsk,RU,65.9939,57.5281,18.43,97,100,18.95,light snow
142,Ahipara,NZ,-35.1667,173.1667,70.09,61,4,3.53,clear sky
143,Hithadhoo,MV,-0.6,73.0833,81.99,72,22,4.43,few clouds
144,Vao,NC,-22.6667,167.4833,75.27,82,100,27.49,overcast clouds
145,Urengoy,RU,65.9667,78.3667,-4.09,91,100,18.63,overcast clouds
146,Labuhan,ID,-6.8844,112.2051,84.24,74,44,15.35,scattered clouds
147,Qui Nhon,VN,13.7667,109.2333,73.94,77,89,13.06,overcast clouds
148,San Cristobal,VE,7.7669,-72.225,67.98,74,78,0.94,broken clouds
149,Komsomolskiy,UZ,40.4272,71.7189,33.8,80,99,4.61,overcast clouds
150,Esterhazy,CA,50.65,-102.0843,15.8,92,100,12.66,overcast clouds
151,Kodiak,US,57.79,-152.4072,26.15,88,99,10.69,overcast clouds
152,Vallenar,CL,-28.5708,-70.7581,62.08,65,10,0.87,clear sky
153,Havelock,US,34.8791,-76.9013,35.6,87,90,18.41,overcast clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,78.01,93,3,4.0,clear sky
155,Arraial Do Cabo,BR,-22.9661,-42.0278,76.3,85,99,25.32,overcast clouds
156,Zahesi,GE,41.8246,44.7536,32.0,86,0,2.3,clear sky
157,Avarua,CK,-21.2078,-159.775,80.6,78,75,6.91,broken clouds
158,Tasiilaq,GL,65.6145,-37.6368,17.6,79,90,26.46,snow
159,Rundu,NA,-17.9333,19.7667,65.39,95,100,4.72,overcast clouds
160,Ghanzi,BW,-21.5667,21.7833,68.68,89,100,7.7,overcast clouds
161,Worcester,US,42.3334,-71.8328,28.99,86,90,25.32,snow
162,Kaitangata,NZ,-46.2817,169.8464,70.0,70,29,7.0,scattered clouds
163,West Bay,KY,19.3667,-81.4167,78.01,73,75,8.05,broken clouds
164,Broome,US,42.2506,-75.833,25.0,86,90,14.97,snow
165,Lata,PT,40.1629,-8.3327,55.99,96,97,1.01,overcast clouds
166,Saint-Francois,FR,46.4154,3.9054,48.2,93,0,3.44,clear sky
167,Tautira,PF,-17.7333,-149.15,86.0,58,40,3.44,scattered clouds
168,Pacific Grove,US,36.6177,-121.9166,54.0,82,1,3.44,clear sky
169,Honningsvag,NO,70.9821,25.9704,27.99,97,100,9.57,light snow
170,Morant Bay,JM,17.8815,-76.4093,78.8,78,20,4.61,few clouds
171,Oranjemund,NA,-28.55,16.4333,60.58,92,0,1.88,clear sky
172,Masvingo,ZW,-20.0637,30.8277,67.5,95,100,14.0,moderate rain
173,Sorong,ID,-0.8833,131.25,83.23,76,6,8.19,clear sky
174,El Cobre,CU,20.0489,-75.9469,71.6,94,75,6.91,broken clouds
175,Tarakan,ID,3.3,117.6333,78.8,89,90,6.91,light rain
176,Stornoway,GB,58.2093,-6.3865,35.6,69,40,13.8,scattered clouds
177,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,82,20,9.22,few clouds
178,Namtsy,RU,62.7161,129.6658,-41.8,66,0,2.24,clear sky
179,Ponta Do Sol,PT,32.6667,-17.1,55.99,71,1,3.0,clear sky
180,Saint Paul,US,44.9444,-93.0933,24.8,68,90,3.44,overcast clouds
181,Rio Grande,BR,-32.035,-52.0986,73.0,96,55,6.98,broken clouds
182,Namibe,AO,-15.1961,12.1522,72.16,77,60,4.7,broken clouds
183,Robat Karim,IR,35.4846,51.0829,41.0,65,0,9.22,clear sky
184,Kandry,RU,54.5667,54.1167,30.92,98,100,15.9,snow
185,Ormara,PK,25.2088,64.6357,68.13,72,0,6.98,clear sky
186,Leningradskiy,RU,69.3833,178.4167,-0.65,86,100,31.76,overcast clouds
187,Bethel,US,41.3712,-73.414,30.2,93,90,16.11,snow
188,Yerbogachen,RU,61.2767,108.0108,-33.92,80,0,3.69,clear sky
189,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,9.22,light snow
190,Alofi,NU,-19.0595,-169.9187,77.0,100,90,6.91,light rain
191,Bengkulu,ID,-3.8004,102.2655,85.41,62,61,5.1,broken clouds
192,Kafanchan,NG,9.5833,8.3,59.0,36,0,8.05,haze
193,Gat,IL,31.61,34.7642,66.0,40,0,4.0,clear sky
194,Carutapera,BR,-1.195,-46.02,78.67,86,100,7.47,overcast clouds
195,Bucerias,MX,20.75,-105.3333,73.4,83,90,3.44,overcast clouds
196,Palmas Bellas,PA,9.2319,-80.0867,81.0,85,30,5.99,scattered clouds
197,Karasjok,NO,69.4719,25.5112,12.2,85,90,4.61,overcast clouds
198,Esperance,AU,-33.8667,121.9,77.0,41,0,12.66,clear sky
199,Fort Nelson,CA,58.8053,-122.7002,-7.6,77,75,6.91,light snow
200,Cabo San Lucas,MX,22.8909,-109.9124,66.0,77,20,3.44,few clouds
201,Khatanga,RU,71.9667,102.5,-30.64,83,0,10.29,clear sky
202,Caravelas,BR,-17.7125,-39.2481,74.82,87,100,4.07,overcast clouds
203,Humboldt,US,40.6665,-123.9178,51.01,100,90,4.61,overcast clouds
204,Pudozh,RU,61.8099,36.5345,21.99,98,100,7.94,snow
205,Faya,SA,18.3851,42.4509,51.8,93,0,1.14,clear sky
206,Bambous Virieux,MU,-20.3428,57.7575,82.99,89,40,11.5,light rain
207,Belaya Gora,RU,68.5333,146.4167,-4.85,92,100,11.54,light snow
208,Kasempa,ZM,-13.4584,25.8338,63.32,97,100,4.34,light rain
209,Olhao,PT,37.0286,-7.8411,59.0,100,75,3.44,broken clouds
210,Ponyri,RU,52.3186,36.3039,23.0,93,75,6.71,broken clouds
211,Bandarbeyla,SO,9.4942,50.8122,71.78,68,60,17.34,broken clouds
212,Bilma,NE,18.6853,12.9164,58.26,26,0,5.14,clear sky
213,Dudinka,RU,69.4058,86.1778,-12.12,87,93,10.78,overcast clouds
214,Airai,TL,-8.9266,125.4092,71.35,85,83,4.92,broken clouds
