City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Iqaluit,CA,2021-02-01 00:22:36,63.7506,-68.5145,6.8,72,90,9.22
68,Yaan,NG,2021-02-01 00:24:00,7.3833,8.5667,79.43,17,11,6.93
69,Zonguldak,TR,2021-02-01 00:19:31,41.25,31.8333,39.56,81,92,7.07
70,Lebu,CL,2021-02-01 00:20:08,-37.6167,-73.65,57.4,85,2,12.73
71,Chipinge,ZW,2021-02-01 00:21:25,-20.1883,32.6236,65.1,99,58,3.33
72,Bengkulu,ID,2021-02-01 00:22:33,-3.8004,102.2655,75.58,80,91,4.23
73,Kahului,US,2021-02-01 00:24:01,20.8947,-156.47,78.8,57,20,21.85
74,Zuwarah,LY,2021-02-01 00:24:01,32.9312,12.082,56.34,69,36,14.85
75,Norman Wells,CA,2021-02-01 00:20:40,65.282,-126.8329,-22.0,76,75,8.05
76,Morondava,MG,2021-02-01 00:24:01,-20.2833,44.2833,78.62,83,41,7.81
77,Coquimbo,CL,2021-02-01 00:22:23,-29.9533,-71.3436,64.4,94,75,9.22
78,Souillac,MU,2021-02-01 00:24:02,-20.5167,57.5167,80.6,74,40,13.8
79,Cidreira,BR,2021-02-01 00:24:02,-30.1811,-50.2056,75.47,91,100,10.49
80,Jamestown,US,2021-02-01 00:24:02,42.097,-79.2353,28.99,74,90,13.8
81,Kavieng,PG,2021-02-01 00:24:02,-2.5744,150.7967,84.22,79,88,14.72
82,Carnarvon,AU,2021-02-01 00:24:02,-24.8667,113.6333,91.4,27,85,12.66
83,Arraial Do Cabo,BR,2021-02-01 00:24:02,-22.9661,-42.0278,77.45,80,100,28.5
84,Mahebourg,MU,2021-02-01 00:24:03,-20.4081,57.7,80.6,74,40,13.8
85,Alta Floresta,BR,2021-02-01 00:23:06,-9.8756,-56.0861,73.63,91,56,0.69
86,Caravelas,BR,2021-02-01 00:24:03,-17.7125,-39.2481,76.08,85,77,6.26
87,Torbay,CA,2021-02-01 00:22:31,47.6666,-52.7314,30.99,86,90,18.41
88,Cherskiy,RU,2021-02-01 00:24:03,68.75,161.3,-15.02,83,97,5.84
89,East London,ZA,2021-02-01 00:20:20,-33.0153,27.9116,72.95,70,25,17.9
90,Yellowknife,CA,2021-02-01 00:24:03,62.456,-114.3525,-4.0,77,90,3.44
91,Dunedin,NZ,2021-02-01 00:21:03,-45.8742,170.5036,62.8,66,100,7.0
92,Marsa Matruh,EG,2021-02-01 00:24:04,31.3525,27.2453,57.2,62,0,6.91
93,Tucupita,VE,2021-02-01 00:24:04,9.0622,-62.051,72.73,88,54,4.92
94,Amet,IN,2021-02-01 00:24:04,25.3,73.9333,56.32,33,0,1.25
95,Geraldton,AU,2021-02-01 00:21:20,-28.7667,114.6,89.6,25,0,26.46
96,Port Elizabeth,ZA,2021-02-01 00:24:04,-33.918,25.5701,68.0,83,40,24.16
97,Zdvinsk,RU,2021-02-01 00:24:04,54.7021,78.661,-1.97,85,94,6.96
98,Barrow,US,2021-02-01 00:24:04,71.2906,-156.7887,-14.8,76,90,8.05
99,Dakar,SN,2021-02-01 00:24:05,14.6937,-17.4441,69.8,68,0,6.91
100,Kaeo,NZ,2021-02-01 00:24:05,-35.1,173.7833,72.7,46,0,8.19
101,Barcelos,PT,2021-02-01 00:20:18,41.5388,-8.6151,57.2,94,75,8.05
102,Tazovskiy,RU,2021-02-01 00:24:05,67.4667,78.7,-10.08,90,100,13.44
103,Manadhoo,MV,2021-02-01 00:24:06,5.7667,73.3833,81.99,70,41,8.57
104,Provideniya,RU,2021-02-01 00:24:06,64.3833,-173.3,5.0,85,90,29.08
105,Mana,GF,2021-02-01 00:24:06,5.6592,-53.7767,77.63,80,46,13.67
106,Cabadiangan,PH,2021-02-01 00:24:06,9.7531,122.4739,78.71,72,80,11.34
107,Yazman,PK,2021-02-01 00:24:06,29.1212,71.7446,56.98,30,0,9.78
108,Iracoubo,GF,2021-02-01 00:24:06,5.4802,-53.2011,78.04,80,57,14.12
109,Tshikapa,CD,2021-02-01 00:24:06,-6.4167,20.8,71.42,92,100,1.21
110,Le Pradet,FR,2021-02-01 00:24:07,43.1066,6.0172,55.4,71,0,12.66
111,Kapaa,US,2021-02-01 00:24:07,22.0752,-159.319,78.8,65,40,13.8
112,Komsomolskiy,UZ,2021-02-01 00:24:07,40.4272,71.7189,33.8,55,100,4.61
113,Oranjemund,NA,2021-02-01 00:24:07,-28.55,16.4333,65.37,90,44,10.04
114,Iralaya,HN,2021-02-01 00:24:07,15.0,-83.2333,78.8,85,75,13.8
115,Iquique,CL,2021-02-01 00:22:02,-20.2208,-70.1431,69.8,68,0,18.41
116,Wewak,PG,2021-02-01 00:24:07,-3.5534,143.6268,76.23,92,100,4.59
117,Puerto Ayora,EC,2021-02-01 00:24:08,-0.7393,-90.3518,79.0,89,91,4.0
118,Port Blair,IN,2021-02-01 00:24:08,11.6667,92.75,78.39,84,35,10.42
119,Upernavik,GL,2021-02-01 00:24:08,72.7868,-56.1549,2.55,93,100,6.6
